episode,total_steps,episode_reward,clipped_episode_reward,consecutive_clipped_over_20,max_consecutive_clipped_over_20,avg_clip50,duration,exploration_rate
26,4541,470.0,47.0,1,1,13.537037037037036,0.6650779247283936,0.9984881800000002
27,4624,20.0,2.0,0,1,13.125,0.28500986099243164,0.9984605409999999
28,4898,270.0,27.0,1,1,13.60344827586207,0.7171673774719238,0.9983692989999998
29,5015,105.0,10.5,0,1,13.5,0.3034641742706299,0.998330338
30,5149,85.0,8.5,0,1,13.338709677419354,0.38074684143066406,0.9982857159999998
31,5324,195.0,19.5,0,1,13.53125,0.4397737979888916,0.9982274409999998
32,5448,55.0,5.5,0,1,13.287878787878787,0.3301069736480713,0.9981861490000001
33,5625,80.0,8.0,0,1,13.132352941176471,0.469876766204834,0.9981272080000001
34,5800,105.0,10.5,0,1,13.057142857142857,0.4315986633300781,0.9980689330000001
35,5882,50.0,5.0,0,1,12.833333333333334,0.22058963775634766,0.9980416270000001
36,5980,30.0,3.0,0,1,12.567567567567568,0.25305724143981934,0.9980089929999999
37,6107,60.0,6.0,0,1,12.394736842105264,0.3309018611907959,0.9979667019999999
38,6219,105.0,10.5,0,1,12.346153846153847,0.2866077423095703,0.997929406
39,6407,105.0,10.5,0,1,12.3,0.4633164405822754,0.997866802
40,6680,230.0,23.0,1,1,12.560975609756097,0.6512353420257568,0.9977758929999998
41,6892,160.0,16.0,0,1,12.642857142857142,0.5169522762298584,0.997705297
42,7103,410.0,41.0,1,1,13.30232558139535,0.5162839889526367,0.997635034
43,7235,40.0,4.0,0,1,13.090909090909092,0.3349609375,0.9975910779999999
44,7414,165.0,16.5,0,1,13.166666666666666,0.44303321838378906,0.9975314710000002
45,7529,95.0,9.5,0,1,13.08695652173913,0.29050588607788086,0.997493176
46,7772,200.0,20.0,0,1,13.23404255319149,0.5888893604278564,0.9974122570000001
47,7930,120.0,12.0,0,1,13.208333333333334,0.4103696346282959,0.997359643
48,8057,55.0,5.5,0,1,13.051020408163266,0.3263425827026367,0.9973173520000002
49,8209,135.0,13.5,0,1,13.06,0.37903356552124023,0.9972667360000002
50,8326,75.0,7.5,0,1,13.07,0.30314111709594727,0.9972277749999999
51,8407,50.0,5.0,0,1,13.0,0.22527694702148438,0.997200802
52,8556,120.0,12.0,0,1,13.14,0.36797142028808594,0.997151185
53,8747,185.0,18.5,0,1,13.35,0.46338534355163574,0.9970875820000001
54,8828,40.0,4.0,0,1,13.05,0.2150568962097168,0.9970606089999999
55,8947,100.0,10.0,0,1,13.1,0.30664539337158203,0.9970209820000001
56,9087,40.0,4.0,0,1,12.67,0.35057616233825684,0.9969743619999999
57,9193,60.0,6.0,0,1,12.54,0.27675938606262207,0.996939064
58,9273,50.0,5.0,0,1,12.44,0.2158215045928955,0.9969124239999999
59,9445,140.0,14.0,0,1,12.47,0.42092251777648926,0.9968551480000002
60,9642,385.0,38.5,1,1,13.19,0.4827892780303955,0.9967895469999999
61,9873,410.0,41.0,2,2,13.71,0.5624611377716064,0.9967126240000002
62,9996,30.0,3.0,0,2,13.51,0.31423497200012207,0.9966716649999998
63,10108,65.0,6.5,0,2,13.46,0.3186471462249756,0.9966343689999999
64,10292,185.0,18.5,0,2,13.73,0.4560565948486328,0.996573097
65,10562,175.0,17.5,0,2,13.93,0.6436042785644531,0.9964831869999999
66,10722,340.0,34.0,1,2,14.48,0.4032597541809082,0.9964299069999999
67,10909,125.0,12.5,0,2,14.61,0.46401166915893555,0.9963676360000002
68,11110,195.0,19.5,0,2,14.16,0.4782414436340332,0.996300703
69,11246,105.0,10.5,0,2,14.06,0.3456549644470215,0.9962554150000001
70,11427,30.0,3.0,0,2,13.87,0.4483792781829834,0.996195142
71,11557,50.0,5.0,0,2,13.18,0.33399367332458496,0.9961518519999999
72,11723,145.0,14.5,0,2,13.39,0.4155282974243164,0.9960965740000002
73,11890,120.0,12.0,0,2,13.52,0.41123104095458984,0.9960409629999999
74,12107,315.0,31.5,1,2,13.97,0.5318827629089355,0.9959687020000002
75,12340,220.0,22.0,2,2,14.2,0.5666370391845703,0.995891113
76,12519,135.0,13.5,0,2,13.53,0.4497852325439453,0.9958315059999999
77,12622,105.0,10.5,0,2,13.7,0.27324438095092773,0.9957972069999999
78,12828,185.0,18.5,0,2,13.53,0.5159957408905029,0.9957286090000002
79,12941,35.0,3.5,0,2,13.39,0.2961249351501465,0.9956909799999999
80,13060,110.0,11.0,0,2,13.44,0.32842445373535156,0.9956513530000001
81,13137,55.0,5.5,0,2,13.16,0.21535110473632812,0.9956257119999999
82,13301,210.0,21.0,1,2,13.47,0.4010050296783447,0.9955710999999998
83,13506,465.0,46.5,2,2,14.24,0.49909281730651855,0.9955028349999999
84,13863,655.0,65.5,3,3,15.34,0.8415646553039551,0.995383954
85,13988,65.0,6.5,0,3,15.37,0.32360029220581055,0.9953423290000001
86,14220,150.0,15.0,0,3,15.61,0.574228048324585,0.9952650730000001
87,14396,165.0,16.5,0,3,15.82,0.4375929832458496,0.9952064649999999
88,14612,180.0,18.0,0,3,15.97,0.5373072624206543,0.995134537
89,14733,60.0,6.0,0,3,15.88,0.30932068824768066,0.9950942440000001
90,14897,105.0,10.5,0,3,15.63,0.399702787399292,0.9950396320000001
91,15118,200.0,20.0,0,3,15.71,0.5339345932006836,0.994966039
92,15254,20.0,2.0,0,3,14.93,0.3532125949859619,0.9949207510000002
93,15338,45.0,4.5,0,3,14.94,0.221268892288208,0.9948927790000001
94,15646,445.0,44.5,1,3,15.5,0.7123751640319824,0.9947902150000001
95,16013,385.0,38.5,2,3,16.08,0.8266711235046387,0.9946680040000001
96,16193,385.0,38.5,3,3,16.45,0.4422938823699951,0.9946080639999999
97,16346,220.0,22.0,4,4,16.65,0.3822798728942871,0.9945571150000001
98,16495,115.0,11.5,0,4,16.77,0.37304210662841797,0.9945074979999999
99,16642,90.0,9.0,0,4,16.68,0.36731410026550293,0.9944585470000001
100,16795,140.0,14.0,0,4,16.81,0.38413047790527344,0.994407598
101,16987,135.0,13.5,0,4,16.98,0.4664440155029297,0.994343662
102,17104,110.0,11.0,0,4,16.96,0.30034327507019043,0.9943047009999998
103,17282,130.0,13.0,0,4,16.85,0.44519519805908203,0.994245427
104,17515,210.0,21.0,1,4,17.19,0.578195333480835,0.9941678380000002
105,17664,85.0,8.5,0,4,17.16,0.3819739818572998,0.994118221
106,17773,100.0,10.0,0,4,17.28,0.29279446601867676,0.9940819239999998
107,17933,40.0,4.0,0,4,17.24,0.40303874015808105,0.9940286439999998
108,18108,35.0,3.5,0,4,17.21,0.44014596939086914,0.9939703689999998
109,18229,80.0,8.0,0,4,17.09,0.30484771728515625,0.9939300759999999
