episode,total_steps,episode_reward,clipped_episode_reward,consecutive_clipped_over_20,max_consecutive_clipped_over_20,avg_clip50,duration,exploration_rate
0,267,180.0,18.0,0,0,18.0,1.1366596221923828,0.9997366600000002
1,431,210.0,21.0,1,1,19.5,0.6958522796630859,0.9995742999999998
2,554,110.0,11.0,0,1,16.666666666666668,0.5268425941467285,0.9994525300000002
3,704,170.0,17.0,0,1,16.75,0.6114168167114258,0.9993040300000003
4,886,115.0,11.5,0,1,15.7,0.7395217418670654,0.9991238499999995
5,996,120.0,12.0,0,1,15.083333333333334,0.2775404453277588,0.9990149499999997
6,1185,250.0,25.0,1,1,16.5,0.4723641872406006,0.9988278400000004
7,1293,20.0,2.0,0,1,14.6875,0.26993322372436523,0.9987209199999995
8,1413,75.0,7.5,0,1,13.88888888888889,0.3095428943634033,0.9986021200000005
9,1549,125.0,12.5,0,1,13.75,0.3698699474334717,0.9984674799999999
10,1894,655.0,65.5,1,1,18.454545454545453,0.7870209217071533,0.9981259300000005
11,2038,90.0,9.0,0,1,17.666666666666668,0.4029691219329834,0.9979833699999997
12,2265,170.0,17.0,0,1,17.615384615384617,0.54744553565979,0.9977586400000004
13,2391,55.0,5.5,0,1,16.75,0.3136322498321533,0.9976339000000001
14,2489,25.0,2.5,0,1,15.8,0.2716491222381592,0.9975368799999995
15,2577,70.0,7.0,0,1,15.25,0.2202744483947754,0.9974497600000003
16,2664,45.0,4.5,0,1,14.617647058823529,0.22471356391906738,0.9973636299999995
17,2821,70.0,7.0,0,1,14.194444444444445,0.39044952392578125,0.9972082
18,2974,50.0,5.0,0,1,13.710526315789474,0.3938868045806885,0.9970567300000005
19,3054,55.0,5.5,0,1,13.3,0.20793581008911133,0.9969775300000004
20,3135,80.0,8.0,0,1,13.047619047619047,0.22931647300720215,0.9968973399999999
21,3241,65.0,6.5,0,1,12.75,0.28746628761291504,0.9967924000000001
22,3432,135.0,13.5,0,1,12.782608695652174,0.45313167572021484,0.9966033099999996
23,3660,525.0,52.5,1,1,14.4375,0.5717306137084961,0.9963775899999997
24,3817,165.0,16.5,0,1,14.52,0.3837440013885498,0.9962221600000002
25,3967,35.0,3.5,0,1,14.096153846153847,0.386859655380249,0.9960736600000003
26,4108,90.0,9.0,0,1,13.907407407407407,0.3636953830718994,0.9959340700000001
27,4260,105.0,10.5,0,1,13.785714285714286,0.3683810234069824,0.9957835900000002
28,4460,100.0,10.0,0,1,13.655172413793103,0.48596978187561035,0.99558559
29,4634,315.0,31.5,1,1,14.25,0.45454907417297363,0.9954133299999994
30,4765,155.0,15.5,0,1,14.290322580645162,0.34401583671569824,0.9952836399999996
31,4906,80.0,8.0,0,1,14.09375,0.5609951019287109,0.9951440500000005
32,5060,155.0,15.5,0,1,14.136363636363637,0.6841495037078857,0.9949915900000005
33,5234,90.0,9.0,0,1,13.985294117647058,0.716719388961792,0.99481933
34,5313,45.0,4.5,0,1,13.714285714285714,0.3402888774871826,0.9947411200000005
35,5529,415.0,41.5,1,1,14.48611111111111,0.8437132835388184,0.9945272799999998
36,5636,60.0,6.0,0,1,14.256756756756756,0.48281145095825195,0.9944213499999995
37,5749,55.0,5.5,0,1,14.026315789473685,0.5018677711486816,0.9943094800000001
38,5904,90.0,9.0,0,1,13.897435897435898,0.4922211170196533,0.9941560299999995
39,6021,60.0,6.0,0,1,13.7,0.2792959213256836,0.9940402
40,6186,155.0,15.5,0,1,13.74390243902439,0.3941521644592285,0.9938768500000004
41,6342,105.0,10.5,0,1,13.666666666666666,0.3989565372467041,0.9937224100000003
42,6469,80.0,8.0,0,1,13.534883720930232,0.39598512649536133,0.9935966800000006
43,6592,80.0,8.0,0,1,13.409090909090908,0.3625204563140869,0.9934749099999998
44,6759,120.0,12.0,0,1,13.377777777777778,0.49167776107788086,0.9933095799999999
45,6922,60.0,6.0,0,1,13.217391304347826,0.4305453300476074,0.9931482100000003
46,7073,90.0,9.0,0,1,13.127659574468085,0.4570651054382324,0.9929987199999998
47,7183,65.0,6.5,0,1,12.989583333333334,0.305131196975708,0.99288982
48,7333,130.0,13.0,0,1,12.989795918367347,0.41626596450805664,0.9927413200000001
49,7580,315.0,31.5,1,1,13.36,0.5957257747650146,0.9924967900000002
50,7696,75.0,7.5,0,1,13.15,0.2998192310333252,0.9923819500000002
51,7787,25.0,2.5,0,1,12.78,0.30333948135375977,0.9922918600000004
52,8041,195.0,19.5,0,1,12.95,0.6347620487213135,0.9920403999999997
53,8237,190.0,19.0,0,1,12.99,0.48655176162719727,0.9918463599999996
54,8359,50.0,5.0,0,1,12.86,0.33318042755126953,0.9917255799999994
55,8442,45.0,4.5,0,1,12.71,0.22337985038757324,0.9916434099999999
56,8585,100.0,10.0,0,1,12.41,0.3875248432159424,0.9915018399999996
57,8803,230.0,23.0,1,1,12.83,0.5339021682739258,0.99128602
58,9026,280.0,28.0,2,2,13.24,0.5638673305511475,0.9910652499999997
59,9133,20.0,2.0,0,2,13.03,0.29250073432922363,0.9909593200000005
60,9261,45.0,4.5,0,2,11.81,0.3181147575378418,0.9908326000000002
61,9471,235.0,23.5,1,2,12.1,0.5545668601989746,0.9906246999999997
62,9670,380.0,38.0,2,2,12.52,0.6300029754638672,0.9904276900000001
63,9827,130.0,13.0,0,2,12.67,0.7311427593231201,0.9902722600000006
64,9987,155.0,15.5,0,2,12.93,0.7280025482177734,0.9901138600000003
65,10129,140.0,14.0,0,2,13.07,0.5901312828063965,0.9899732799999996
66,10273,65.0,6.5,0,2,13.11,0.6387956142425537,0.9898307199999999
67,10394,115.0,11.5,0,2,13.2,0.5240907669067383,0.9897109300000003
68,10505,110.0,11.0,0,2,13.32,0.529655933380127,0.9896010399999999
69,10610,55.0,5.5,0,2,13.32,0.4843862056732178,0.9894970899999997
70,10844,320.0,32.0,1,2,13.8,0.7224040031433105,0.9892654299999997
71,11079,290.0,29.0,2,2,14.25,0.6687099933624268,0.9890327800000001
72,11149,25.0,2.5,0,2,14.03,0.2336118221282959,0.9889634800000002
73,11268,50.0,5.0,0,2,13.08,0.3154306411743164,0.9888456699999997
74,11457,285.0,28.5,1,2,13.32,0.549724817276001,0.9886585600000003
75,11600,100.0,10.0,0,2,13.45,0.3985879421234131,0.98851699
